Assembly	idba	megahit	platanus	spades
# contigs (>= 0 bp)	382	369	1825	301
# contigs (>= 1000 bp)	233	162	548	115
# contigs (>= 5000 bp)	103	71	313	62
# contigs (>= 10000 bp)	81	51	196	48
# contigs (>= 25000 bp)	57	39	47	34
# contigs (>= 50000 bp)	36	27	1	27
Total length (>= 0 bp)	5347490	5478912	5755620	5588779
Total length (>= 1000 bp)	5275795	5393901	5381822	5520837
Total length (>= 5000 bp)	4986495	5176534	4783340	5389137
Total length (>= 10000 bp)	4824129	5033151	3912239	5292240
Total length (>= 25000 bp)	4418476	4832809	1574632	5082261
Total length (>= 50000 bp)	3643314	4443603	58873	4859563
# contigs	283	195	667	142
Largest contig	202935	440577	58873	818989
Total length	5311883	5417403	5464862	5539349
GC (%)	50.25	50.27	50.27	50.22
N50	74767	169832	16007	226784
N75	41920	78946	9303	92543
L50	20	11	105	8
L75	44	22	216	18
# N's per 100 kbp	0.00	0.00	0.00	0.00
